dep;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
13;4;2022-09-08;32042;367;93;5;231
13;5;2022-09-08;3831;2565;124;18;141
13;6;2022-09-08;949;757;235;90;92
14;1;2022-09-08;437376;439641;294431;65968;309166
14;2;2022-09-08;68355;78086;145060;3173;155017
14;3;2022-09-08;59794;46628;24;0;6
14;4;2022-09-08;11736;39;3;1;12
14;5;2022-09-08;3336;2390;55;8;64
14;6;2022-09-08;99;73;6;2;6
15;1;2022-09-08;93898;94915;70806;13538;73608
15;2;2022-09-08;10761;12132;21422;709;23092
15;3;2022-09-08;11578;9602;9;0;4
15;4;2022-09-08;2685;1;0;0;0
15;5;2022-09-08;424;290;6;1;8
15;6;2022-09-08;12;11;3;0;3
16;1;2022-09-08;220596;221149;145823;39723;151440
16;2;2022-09-08;32620;36876;73421;1677;77751
16;3;2022-09-08;24989;21111;20;0;3
16;4;2022-09-08;7057;17;3;0;5
16;5;2022-09-08;1402;936;12;6;15
16;6;2022-09-08;69;56;5;36;10
17;1;2022-09-08;416626;421766;285110;82126;294357
17;2;2022-09-08;66064;74321;138777;3863;147005
17;3;2022-09-08;55912;46882;59;0;25
17;4;2022-09-08;17083;33;3;0;11
17;5;2022-09-08;1611;1091;27;18;24
17;6;2022-09-08;159;126;12;19;13
18;1;2022-09-08;188347;187092;128026;31365;134665
18;2;2022-09-08;30233;34235;55220;2387;60424
18;3;2022-09-08;17379;14349;18;0;5
18;4;2022-09-08;5354;12;6;0;4
18;5;2022-09-08;1101;779;16;1;18
18;6;2022-09-08;57;45;2;0;3
19;1;2022-09-08;149198;149614;103390;24762;107022
19;2;2022-09-08;20879;23506;44666;905;47648
19;3;2022-09-08;19703;16570;19;0;2
19;4;2022-09-08;4416;7;5;0;4
19;5;2022-09-08;672;432;8;0;11
19;6;2022-09-08;36;30;4;5;8
21;1;2022-09-08;310701;311550;221960;45754;237321
21;2;2022-09-08;57598;62697;82923;4348;89293
21;3;2022-09-08;41673;32134;50;0;17
21;4;2022-09-08;8860;51;12;0;28
21;5;2022-09-08;2240;1499;25;1;32
21;6;2022-09-08;125;91;8;0;13
22;1;2022-09-08;392951;391714;240061;64788;246920
22;2;2022-09-08;60679;71102;155222;2980;162900
22;3;2022-09-08;44132;35885;26;0;5
22;4;2022-09-08;11049;20;0;0;3
22;5;2022-09-08;3285;2326;29;2;27
22;6;2022-09-08;128;104;15;1;16
23;1;2022-09-08;73000;73333;51662;12368;53428
23;2;2022-09-08;8388;9899;19895;418;21408
23;3;2022-09-08;7886;6763;7;0;3
23;4;2022-09-08;2474;5;1;0;1
23;5;2022-09-08;267;204;10;0;8
23;6;2022-09-08;20;21;4;2;4
24;1;2022-09-08;246768;247391;167192;44137;174450
24;2;2022-09-08;44592;49894;83957;3776;90218
24;3;2022-09-08;31043;26289;36;0;8
24;4;2022-09-08;9768;23;1;0;5
24;5;2022-09-08;1238;841;19;3;23
24;6;2022-09-08;95;80;2;6;5
25;1;2022-09-08;301746;295039;206447;36574;226892
25;2;2022-09-08;63834;66775;66624;2562;75044
25;3;2022-09-08;32029;24453;16;0;10
25;4;2022-09-08;5591;18;10;0;12
25;5;2022-09-08;1929;1224;16;3;24
25;6;2022-09-08;126;84;8;21;13
26;1;2022-09-08;313422;306351;182841;38460;199664
26;2;2022-09-08;39627;46339;86424;3547;95830
26;3;2022-09-08;34468;26777;35;0;16
26;4;2022-09-08;6968;44;4;0;15
26;5;2022-09-08;1644;1075;14;5;26
26;6;2022-09-08;96;73;9;3;16
27;1;2022-09-08;375252;369593;214516;46720;229085
27;2;2022-09-08;55906;65525;132122;4603;143734
27;3;2022-09-08;36225;29738;18;0;11
27;4;2022-09-08;10653;33;3;0;10
27;5;2022-09-08;3396;2424;24;2;39
27;6;2022-09-08;100;73;15;15;18
28;1;2022-09-08;266876;264593;179991;38191;190470
28;2;2022-09-08;41498;46550;73788;3576;79656
28;3;2022-09-08;27921;22324;18;0;5
28;4;2022-09-08;6113;29;8;0;14
28;5;2022-09-08;2150;1503;23;0;25
28;6;2022-09-08;66;42;7;2;8
29;1;2022-09-08;574714;580291;397230;113877;404214
29;2;2022-09-08;90178;106711;217624;4421;225785
29;3;2022-09-08;88936;72611;64;0;14
29;4;2022-09-08;18250;58;6;3;18
29;5;2022-09-08;6200;4618;32;15;41
29;6;2022-09-08;130;104;3;0;7
2A;1;2022-09-08;97212;96064;69592;8151;71804
2A;2;2022-09-08;10650;11085;12059;367;12871
2A;3;2022-09-08;4270;2768;1;0;0
2A;4;2022-09-08;1557;11;4;0;8
2A;5;2022-09-08;137;100;4;7;5
2A;6;2022-09-08;45;34;1;0;4
2B;1;2022-09-08;103814;102178;74867;9728;78681
2B;2;2022-09-08;10402;10832;11848;189;12916
2B;3;2022-09-08;5732;4306;4;0;4
2B;4;2022-09-08;2317;23;4;0;10
2B;5;2022-09-08;120;82;2;2;1
2B;6;2022-09-08;37;27;1;0;1
30;1;2022-09-08;430738;421016;287498;63690;312180
30;2;2022-09-08;85021;92534;113812;3648;127681
